iter	Passed	Remaining
0	6	2025
1	11	1852
2	17	1813
3	22	1776
4	28	1743
5	33	1741
6	38	1708
7	43	1684
8	48	1669
9	53	1643
10	58	1624
11	63	1600
12	67	1579
13	72	1559
14	77	1556
15	82	1547
16	87	1540
17	92	1534
18	97	1524
19	102	1514
20	107	1509
21	112	1499
22	117	1490
23	122	1484
24	127	1482
25	132	1481
26	138	1477
27	143	1476
28	148	1466
29	152	1458
30	158	1453
31	162	1444
32	167	1437
33	172	1432
34	177	1424
35	182	1418
36	186	1410
37	192	1405
38	197	1401
39	202	1394
40	207	1390
41	212	1384
42	217	1378
43	222	1374
44	227	1370
45	232	1363
46	236	1356
47	241	1348
48	246	1341
49	251	1338
50	256	1333
51	261	1328
52	266	1322
53	271	1316
54	276	1310
55	280	1304
56	285	1298
57	290	1292
58	295	1286
59	300	1281
60	305	1275
61	310	1271
62	315	1266
63	320	1261
64	324	1254
65	330	1250
66	335	1245
67	339	1239
68	344	1234
69	349	1229
70	354	1224
71	359	1218
72	364	1214
73	369	1208
74	374	1202
75	379	1198
76	384	1192
77	389	1187
78	394	1183
79	399	1178
80	404	1173
81	409	1168
82	414	1162
83	419	1158
84	424	1152
85	428	1146
86	433	1141
87	439	1137
88	444	1133
89	449	1128
90	453	1122
91	458	1116
92	463	1111
93	468	1105
94	472	1100
95	477	1095
96	482	1089
97	487	1084
98	492	1078
99	497	1073
100	502	1068
101	506	1063
102	511	1057
103	516	1053
104	522	1050
105	527	1045
106	532	1040
107	537	1034
108	542	1029
109	547	1024
110	552	1019
111	556	1014
112	561	1009
113	566	1003
114	570	997
115	575	992
116	580	987
117	585	982
118	590	977
119	595	973
120	601	968
121	605	963
122	610	958
123	615	952
124	620	947
125	625	942
126	629	937
127	634	931
128	639	927
129	644	922
130	649	917
131	654	912
132	659	907
133	664	901
134	668	896
135	673	891
136	678	886
137	683	881
138	687	875
139	692	870
140	697	865
141	702	860
142	706	855
143	711	850
144	716	845
145	721	840
146	726	835
147	731	830
148	736	825
149	741	820
150	745	815
151	750	809
152	755	804
153	760	799
154	765	794
155	770	789
156	774	784
157	779	779
158	784	774
159	789	769
160	794	765
161	799	760
162	804	755
163	809	750
164	813	744
165	818	739
166	823	734
167	828	729
168	832	724
169	837	719
170	842	714
171	847	709
172	852	704
173	857	699
174	861	694
175	866	689
176	871	684
177	876	679
178	880	674
179	885	669
180	890	664
181	895	659
182	899	654
183	904	649
184	909	644
185	914	639
186	919	634
187	924	629
188	929	624
189	933	619
190	939	614
191	943	609
192	948	604
193	953	599
194	958	594
195	963	589
196	968	585
197	973	580
198	978	575
199	983	570
200	989	566
201	994	561
202	1000	556
203	1005	552
204	1010	547
205	1016	542
206	1021	537
207	1026	533
208	1031	527
209	1036	523
210	1040	518
211	1045	512
212	1050	507
213	1055	503
214	1060	497
215	1065	493
216	1069	488
217	1074	483
218	1079	478
219	1084	473
220	1089	468
221	1094	463
222	1098	458
223	1103	453
224	1108	448
225	1114	443
226	1118	438
227	1123	433
228	1128	428
229	1133	423
230	1138	418
231	1143	414
232	1148	409
233	1153	404
234	1158	399
235	1163	394
236	1168	389
237	1172	384
238	1177	379
239	1182	374
240	1187	369
241	1192	364
242	1197	359
243	1201	354
244	1206	349
245	1211	344
246	1215	339
247	1220	334
248	1225	329
249	1230	324
250	1234	319
251	1239	314
252	1244	309
253	1248	304
254	1253	299
255	1258	294
256	1263	290
257	1268	285
258	1272	280
259	1277	275
260	1282	270
261	1287	265
262	1292	260
263	1297	255
264	1302	250
265	1306	245
266	1311	240
267	1316	235
268	1321	230
269	1326	225
270	1331	221
271	1335	216
272	1340	211
273	1345	206
274	1350	201
275	1355	196
276	1360	191
277	1365	186
278	1370	181
279	1374	176
280	1379	171
281	1383	166
282	1388	161
283	1393	157
284	1398	152
285	1403	147
286	1408	142
287	1413	137
288	1418	132
289	1423	127
290	1428	122
291	1433	117
292	1438	112
293	1443	108
294	1448	103
295	1454	98
296	1458	93
297	1463	88
298	1468	83
299	1473	78
300	1477	73
301	1482	68
302	1487	63
303	1492	58
304	1497	54
305	1502	49
306	1507	44
307	1512	39
308	1517	34
309	1521	29
310	1526	24
311	1531	19
312	1536	14
313	1542	9
314	1546	4
315	1551	0
